       Step     Time          Energy         fmax
GPMin:   19 12:06:59       -6.846731        0.0248
GPMin:   20 12:07:05       -6.848457        0.0179
       Step     Time          Energy         fmax
GPMin:    0 12:07:19       -6.593245        0.3060
GPMin:    1 12:07:26       -6.779710        0.2274
GPMin:    2 12:07:33       -6.896386        0.1536
GPMin:    3 12:07:39       -6.961276        0.1230
GPMin:    4 12:07:45       -6.997397        0.0831
GPMin:    5 12:07:51       -7.018353        0.0622
GPMin:    6 12:07:58       -7.037964        0.0715
GPMin:    7 12:08:03       -7.062514        0.0575
GPMin:    8 12:08:09       -7.083827        0.0451
GPMin:    9 12:08:15       -7.095849        0.0654
GPMin:   10 12:08:21       -7.104269        0.0645
GPMin:   11 12:08:27       -7.120375        0.0774
GPMin:   12 12:08:33       -7.140966        0.0904
GPMin:   13 12:08:39       -7.168328        0.1009
GPMin:   14 12:08:45       -7.204632        0.1161
GPMin:   15 12:08:52       -7.240722        0.1046
GPMin:   16 12:08:58       -7.260450        0.0699
GPMin:   17 12:09:03       -7.268621        0.0462
GPMin:   18 12:09:09       -7.273201        0.0418
GPMin:   19 12:09:14       -7.276105        0.0314
GPMin:   20 12:09:20       -7.278228        0.0196
       Step     Time          Energy         fmax
GPMin:    0 12:09:34       -6.972336        0.5996
GPMin:    1 12:09:41       -7.133388        0.1562
GPMin:    2 12:09:48       -7.166196        0.1398
GPMin:    3 12:09:55       -7.194972        0.0929
GPMin:    4 12:10:01       -7.213616        0.0682
GPMin:    5 12:10:07       -7.230896        0.0460
GPMin:    6 12:10:13       -7.244001        0.0328
GPMin:    7 12:10:19       -7.248184        0.0243
GPMin:    8 12:10:25       -7.252617        0.0358
GPMin:    9 12:10:31       -7.263235        0.0346
GPMin:   10 12:10:37       -7.272684        0.0276
GPMin:   11 12:10:43       -7.278131        0.0155
       Step     Time          Energy         fmax
GPMin:    0 12:10:54       -6.429783        0.3400
GPMin:    1 12:11:01       -6.613920        0.2287
GPMin:    2 12:11:08       -6.713037        0.2075
GPMin:    3 12:11:14       -6.780516        0.2169
GPMin:    4 12:11:21       -6.854314        0.2211
GPMin:    5 12:11:28       -6.938129        0.2075
GPMin:    6 12:11:35       -7.022478        0.1662
GPMin:    7 12:11:42       -7.081310        0.1009
GPMin:    8 12:11:48       -7.103106        0.0827
GPMin:    9 12:11:54       -7.116586        0.0720
GPMin:   10 12:12:00       -7.128771        0.0833
GPMin:   11 12:12:05       -7.147835        0.0776
GPMin:   12 12:12:12       -7.173262        0.0897
GPMin:   13 12:12:18       -7.202147        0.0948
GPMin:   14 12:12:24       -7.234997        0.0914
GPMin:   15 12:12:30       -7.262306        0.0672
GPMin:   16 12:12:36       -7.275587        0.0374
GPMin:   17 12:12:41       -7.279099        0.0314
GPMin:   18 12:12:47       -7.280337        0.0186
       Step     Time          Energy         fmax
GPMin:    0 12:12:58       -6.336393        0.4069
GPMin:    1 12:13:05       -6.544101        0.3445
GPMin:    2 12:13:11       -6.677403        0.2997
GPMin:    3 12:13:18       -6.798419        0.2495
GPMin:    4 12:13:25       -6.901369        0.1850
GPMin:    5 12:13:31       -6.974909        0.1559
GPMin:    6 12:13:37       -7.019305        0.1483
GPMin:    7 12:13:43       -7.047697        0.1306
GPMin:    8 12:13:49       -7.071342        0.0968
GPMin:    9 12:13:56       -7.087263        0.0496
GPMin:   10 12:14:01       -7.093086        0.0402
GPMin:   11 12:14:07       -7.098412        0.0436
GPMin:   12 12:14:12       -7.104677        0.0377
GPMin:   13 12:14:18       -7.108146        0.0255
GPMin:   14 12:14:23       -7.110529        0.0224
GPMin:   15 12:14:28       -7.111727        0.0131
       Step     Time          Energy         fmax
GPMin:    0 12:14:39       -6.913163        0.3244
GPMin:    1 12:14:46       -7.076443        0.2302
GPMin:    2 12:14:53       -7.148317        0.1307
GPMin:    3 12:14:59       -7.182086        0.0965
GPMin:    4 12:15:05       -7.206429        0.0672
GPMin:    5 12:15:11       -7.226300        0.0624
GPMin:    6 12:15:17       -7.243498        0.0393
GPMin:    7 12:15:23       -7.255183        0.0403
GPMin:    8 12:15:30       -7.261490        0.0366
GPMin:    9 12:15:36       -7.267357        0.0305
GPMin:   10 12:15:42       -7.274331        0.0292
GPMin:   11 12:15:48       -7.278205        0.0180
       Step     Time          Energy         fmax
GPMin:    0 12:15:58       -6.228830        0.6139
GPMin:    1 12:16:05       -6.614037        0.2676
GPMin:    2 12:16:12       -6.733740        0.1812
GPMin:    3 12:16:17       -6.793260        0.1387
GPMin:    4 12:16:24       -6.836174        0.0620
GPMin:    5 12:16:29       -6.847665        0.0349
GPMin:    6 12:16:34       -6.849383        0.0150
       Step     Time          Energy         fmax
GPMin:    0 12:16:45       -6.705809        0.2730
GPMin:    1 12:16:53       -6.887626        0.2192
GPMin:    2 12:17:00       -6.993820        0.1429
GPMin:    3 12:17:06       -7.050066        0.1109
GPMin:    4 12:17:13       -7.091027        0.0837
GPMin:    5 12:17:19       -7.118822        0.0849
GPMin:    6 12:17:25       -7.141192        0.0954
GPMin:    7 12:17:31       -7.164678        0.1097
GPMin:    8 12:17:37       -7.195592        0.1188
GPMin:    9 12:17:44       -7.233088        0.1048
GPMin:   10 12:17:51       -7.263458        0.0634
GPMin:   11 12:17:57       -7.276602        0.0385
GPMin:   12 12:18:02       -7.279989        0.0228
GPMin:   13 12:18:07       -7.280993        0.0120
       Step     Time          Energy         fmax
GPMin:    0 12:18:22       -6.870423        0.6882
GPMin:    1 12:18:29       -7.063139        0.1571
GPMin:    2 12:18:37       -7.116528        0.1278
GPMin:    3 12:18:43       -7.151121        0.1057
GPMin:    4 12:18:49       -7.185684        0.0860
GPMin:    5 12:18:55       -7.210382        0.0771
GPMin:    6 12:19:02       -7.234366        0.0594
GPMin:    7 12:19:08       -7.255770        0.0519
GPMin:    8 12:19:14       -7.272931        0.0404
GPMin:    9 12:19:19       -7.279939        0.0211
GPMin:   10 12:19:24       -7.281054        0.0083
       Step     Time          Energy         fmax
GPMin:    0 12:19:37       -6.694146        0.2816
GPMin:    1 12:19:44       -6.873563        0.2350
GPMin:    2 12:19:52       -6.971913        0.1642
GPMin:    3 12:19:59       -7.028433        0.1194
